name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Big Bag with Plastic Scraps,156.09,1892.15,2.0,0.94,0.24,2023-03-21,Port of Busan (South Korea)
Pallete of Cement,322.34,987.62,1.49,0.89,1.2,2023-03-14,Port of Tokyo (Japan)
Large Shipping Tube,28.67,0.51,0.68,0.38,1.46,2023-03-28,Port of Tianjin (China)
Pallete of Bananas,118.03,349.03,1.15,0.89,0.71,,Port of Tianjin (China)
Gym Bag,36.16,0.56,0.34,0.3,0.2,2023-03-21,Port of Tianjin (China)
Scooter,63.58,3.0,0.8,0.24,0.3,2023-03-25,Port of Tianjin (China)
Box of Canned Soup,39.39,5.83,0.67,0.45,0.11,2023-03-19,Port of Tianjin (China)
Mattress,241.16,35.6,1.74,1.37,0.22,2023-03-28,Port of Shanghai (China)
Gaming Mouse,73.91,0.38,0.12,0.07,0.05,2023-03-12,Port of Busan (South Korea)
Tomatoes (Canned),543.02,85.6,0.4,0.3,0.3,2023-03-26,Port of Tokyo (Japan)
Mountain Bike,776.29,13.76,1.73,1.03,1.39,2023-03-28,Port of Busan (South Korea)
Digital Camera,107.11,0.56,0.12,0.09,0.09,2023-03-24,Port of Singapore (Singapore)
Pallete of Snacks,118.15,466.88,1.18,0.98,1.21,2023-03-21,Port of Tokyo (Japan)
Pallete of Laptops,11978.99,23238.84,0.56,0.44,0.18,2023-03-16,Port of Shanghai (China)
Bed,890.53,69.41,1.79,1.47,1.02,2023-03-27,Port of Busan (South Korea)
Umbrella,34.5,0.23,1.12,0.23,0.21,2023-03-28,Port of Tianjin (China)
Pallete of Glassware,423.81,557.72,1.42,1.04,0.68,2023-03-13,Port of Singapore (Singapore)
Refrigerator,1030.74,144.75,0.7,0.69,0.99,2023-03-26,Port of Shanghai (China)
Pallete of Bird Food,98.32,206.47,1.04,0.92,1.43,2023-03-23,Port of Singapore (Singapore)
Pallete of Musical Instruments,801.66,1827.09,1.09,0.85,0.62,2023-03-16,Port of Tokyo (Japan)
Wireless Earbuds,81.39,0.08,0.18,0.2,0.1,2023-03-27,Port of Singapore (Singapore)
Armchair,243.84,22.26,1.04,0.95,0.88,2023-03-18,Port of Tokyo (Japan)
Yoga Mat,22.12,0.82,1.26,0.98,0.07,2023-03-20,Port of Busan (South Korea)
Mountain Bike,968.04,13.87,1.85,1.05,1.3,2023-03-24,Port of Tokyo (Japan)
Jump Rope,13.31,0.2,0.09,0.05,0.02,2023-03-28,Port of Shanghai (China)
Kitchen Timer,7.5,0.27,0.17,0.12,0.12,2023-03-25,Port of Singapore (Singapore)
Corn (Canned),56.09,47.38,0.4,0.3,0.3,2023-03-25,Port of Busan (South Korea)
Backpack,36.26,1.64,0.2,0.56,0.15,2023-03-18,Port of Tianjin (China)
Microwave,198.15,2.58,0.49,0.31,0.28,2023-03-17,Port of Tokyo (Japan)
Bookshelf,298.85,32.61,1.44,0.36,1.14,2023-03-25,Port of Tokyo (Japan)
Large Shipping Tube,19.69,0.57,0.79,0.37,1.69,2023-03-26,Port of Busan (South Korea)
Skipping Rope,8.45,0.18,1.58,0.05,0.02,2023-03-18,Port of Busan (South Korea)
Camera,563.49,0.83,0.19,0.16,0.07,2023-03-12,Port of Tianjin (China)
Big Bag with Granules,86.43,587.96,1.48,0.86,0.29,2023-03-17,Port of Shanghai (China)
Pallete of Breakfast Cereal,126.44,428.39,1.09,0.95,1.35,2023-03-23,Port of Shanghai (China)
Sneakers,220.81,1.72,0.22,0.24,0.35,2023-03-12,Port of Tokyo (Japan)
Garden Sprayer,28.68,2.89,0.25,0.33,0.2,2023-03-21,Port of Shanghai (China)
Garden Shovel,24.82,0.94,0.26,0.05,0.03,2023-03-27,Port of Tokyo (Japan)
Box of Canned Soup,46.86,4.66,0.65,0.32,0.11,2023-03-16,Port of Singapore (Singapore)
Wine Bottle,26.62,1.12,0.2,0.12,0.3,2023-03-18,Port of Singapore (Singapore)
Pallete of Coffee,389.54,848.27,1.06,0.95,1.49,2023-03-22,Port of Busan (South Korea)
Medium Box,17.21,0.47,0.58,0.33,0.29,2023-03-13,Port of Singapore (Singapore)
Big Bag with Fertilizer,68.33,448.57,1.39,0.65,0.18,2023-03-12,Port of Singapore (Singapore)
Duvet,144.39,2.05,2.12,1.77,0.12,2023-03-23,Port of Shanghai (China)
Loaf of Bread,4.23,0.49,0.22,0.1,0.13,2023-03-20,Port of Busan (South Korea)
Kitchen Knife Set,76.79,3.43,0.45,0.17,0.05,2023-03-28,Port of Singapore (Singapore)
Sewing Machine,470.81,5.81,0.55,0.65,0.42,2023-03-21,Port of Busan (South Korea)
Spices Collection,25.72,0.57,0.24,0.3,0.17,2023-03-15,Port of Singapore (Singapore)
Big Bag with Metal Scraps,203.33,1739.64,1.63,1.06,0.29,2023-03-28,Port of Tianjin (China)
Camera Bag,65.67,1.46,0.26,0.43,0.21,2023-03-18,Port of Busan (South Korea)
Bassinet,279.71,9.43,0.73,0.55,0.59,2023-03-24,Port of Tokyo (Japan)
Jar of Pasta Sauce,6.45,0.3,0.13,0.11,0.11,2023-03-25,Port of Shanghai (China)
Pool Table,628.53,158.41,2.32,1.02,0.68,2023-03-12,Port of Tianjin (China)
Pallete of Smartphones,6709.53,14455.65,0.42,0.35,0.06,2023-03-17,Port of Tianjin (China)
Small Desk,137.93,10.29,0.96,0.61,0.86,2023-03-18,Port of Tianjin (China)
External Hard Drives,431.35,1.77,0.77,0.57,0.43,2023-03-27,Port of Tokyo (Japan)
Dining Table,366.85,50.4,1.3,1.04,0.69,2023-03-15,Port of Tianjin (China)
Running Shoes,32.56,0.61,0.46,0.15,0.19,2023-03-23,Port of Tianjin (China)
Suitcase,42.75,5.0,0.87,0.59,0.33,2023-03-15,Port of Busan (South Korea)
Television,377.16,5.48,0.71,0.64,0.16,2023-03-19,Port of Tokyo (Japan)
Sunglasses,59.56,0.21,0.18,0.07,0.05,2023-03-25,Port of Tianjin (China)
Big Bag with Paper Scraps,82.1,1722.02,1.91,1.18,0.24,2023-03-21,Port of Tokyo (Japan)
Sofa,528.91,46.99,1.82,1.26,0.61,2023-03-26,Port of Busan (South Korea)
Large Desk,429.29,24.75,1.53,0.9,0.83,2023-03-18,Port of Tianjin (China)
Jump Rope,14.76,0.22,0.06,0.1,0.01,2023-03-18,Port of Tianjin (China)
Bananas,97.89,276.68,0.63,0.6,0.7,2023-03-13,Port of Tokyo (Japan)
Pallete of Books,198.62,965.78,0.52,0.31,1.18,2023-03-22,Port of Busan (South Korea)
Movie Night Pack,16.58,2.26,1.01,0.54,0.25,2023-03-17,Port of Tokyo (Japan)
Digital Camera,403.13,0.33,0.12,0.09,0.1,2023-03-13,Port of Tokyo (Japan)
Golf Cart,8474.25,421.09,1.7,1.02,1.02,2023-03-28,Port of Shanghai (China)
Large Box,20.67,0.73,0.75,0.54,0.36,2023-03-21,Port of Tokyo (Japan)
Laptop,577.1,1.8,0.34,0.35,0.03,2023-03-15,Port of Tokyo (Japan)
Steel Bars,115.48,54.6,2.7,0.14,0.93,2023-03-16,Port of Tianjin (China)
Insulation Rolls,20.06,5.02,1.06,0.75,0.05,2023-03-18,Port of Singapore (Singapore)
Large Desk,350.01,37.57,1.7,1.06,0.84,2023-03-16,Port of Tokyo (Japan)
Refrigerator,583.84,53.82,1.43,0.83,1.9,2023-03-16,Port of Tianjin (China)
Toy Car,26.51,0.37,0.35,0.26,0.13,2023-03-16,Port of Shanghai (China)
Bed,1140.48,77.93,2.11,1.87,1.0,2023-03-22,Port of Tianjin (China)
Portable Bluetooth Keyboard,147.42,0.32,0.18,0.06,0.02,2023-03-26,Port of Singapore (Singapore)
Coffee Beans,496.13,105.76,0.24,0.15,0.16,2023-03-20,Port of Busan (South Korea)
Large Padded Envelope,5.88,0.27,0.21,0.12,0.03,2023-03-22,Port of Shanghai (China)
Weed Whacker,56.73,2.86,1.01,0.29,0.3,2023-03-18,Port of Tokyo (Japan)
Big Bag with Textile Scraps,102.04,1115.32,1.63,0.96,0.16,2023-03-25,Port of Singapore (Singapore)
Bed,364.34,132.2,1.47,1.22,0.99,2023-03-12,Port of Tokyo (Japan)
Bluetooth Speaker,146.45,0.86,0.25,0.17,0.18,2023-03-13,Port of Busan (South Korea)
Pallete of Orange Juice,221.59,581.87,1.11,0.97,1.23,2023-03-15,Port of Tokyo (Japan)
Medium Box,12.5,0.45,0.59,0.31,0.24,2023-03-18,Port of Tokyo (Japan)
Resistance Loop Bands,22.19,0.34,0.18,0.03,0.02,2023-03-21,Port of Tianjin (China)
Movie Night Pack,19.54,2.3,1.16,0.45,0.21,2023-03-24,Port of Singapore (Singapore)
Teapot,32.22,0.85,0.22,0.25,0.15,2023-03-19,Port of Shanghai (China)
Pillows,23.58,1.43,0.24,0.29,0.14,2023-03-13,Port of Tokyo (Japan)
Smartphone,481.47,0.12,0.06,0.08,0.05,2023-03-18,Port of Singapore (Singapore)
Camping Stove,46.66,1.02,0.28,0.22,0.07,2023-03-20,Port of Tokyo (Japan)
Hedge Trimmer,127.5,3.31,0.99,0.23,0.17,2023-03-27,Port of Tokyo (Japan)
Soap Dispenser,10.21,0.61,0.13,0.15,0.21,2023-03-27,Port of Singapore (Singapore)
Large Box,30.23,0.96,0.95,0.4,0.35,2023-03-26,Port of Busan (South Korea)
Camera Bag,67.41,1.48,0.22,0.38,0.3,2023-03-20,Port of Shanghai (China)
Fan,87.0,2.46,0.3,0.36,0.22,2023-03-23,Port of Tokyo (Japan)
Pallete of Chips,101.28,298.08,1.13,0.93,1.27,2023-03-12,Port of Tianjin (China)
Washing Machine,341.9,34.02,0.92,0.73,1.17,2023-03-12,Port of Singapore (Singapore)
Bottle of Olive Oil,10.62,1.08,0.21,0.15,0.15,2023-03-28,Port of Singapore (Singapore)
Large Padded Envelope,7.31,0.16,0.29,0.17,0.02,2023-03-22,Port of Busan (South Korea)
Electric Drill,59.06,3.27,0.21,0.26,0.29,2023-03-20,Port of Busan (South Korea)
Pallete of Frozen Meat,504.26,1300.23,1.02,0.82,1.27,2023-03-13,Port of Singapore (Singapore)
Car,190118.08,2668.94,4.28,1.98,1.39,2023-03-26,Port of Tianjin (China)
Toaster,55.79,1.82,0.47,0.24,0.16,2023-03-23,Port of Tokyo (Japan)
Shelves,256.34,6.05,1.57,0.43,1.05,2023-03-16,Port of Singapore (Singapore)
Handheld Mixer,41.86,2.39,0.6,0.36,0.12,2023-03-26,Port of Singapore (Singapore)
Box of Canned Soup,56.38,4.89,0.51,0.29,0.18,2023-03-16,Port of Singapore (Singapore)
Weed Eater,89.86,4.58,0.9,0.31,0.15,2023-03-12,Port of Shanghai (China)
Fridge,1136.94,112.52,1.23,0.78,0.55,2023-03-18,Port of Shanghai (China)
Loaf of Bread,3.69,0.43,0.23,0.14,0.11,2023-03-21,Port of Tokyo (Japan)
Pallete of Tables,2296.26,5673.83,1.87,1.4,1.06,2023-03-25,Port of Tokyo (Japan)
Headphones,86.33,0.31,0.15,0.19,0.15,2023-03-17,Port of Tianjin (China)
Hiking Boots,67.75,2.17,0.39,0.29,0.46,2023-03-20,Port of Singapore (Singapore)
MDF Boards,19.0,9.35,1.22,0.56,0.06,2023-03-19,Port of Shanghai (China)
Coffee Maker,33.51,1.14,0.54,0.39,0.22,2023-03-14,Port of Singapore (Singapore)
Microphone,199.55,0.22,0.07,0.1,0.14,2023-03-15,Port of Tokyo (Japan)
Couch,529.6,98.66,2.32,1.41,1.05,2023-03-13,Port of Tokyo (Japan)
Measuring Cups and Spoons,21.68,0.92,0.37,0.28,0.11,2023-03-12,Port of Tianjin (China)
Sofa,558.94,38.59,2.17,1.05,0.61,2023-03-23,Port of Tokyo (Japan)
Pallete of Cleaning Products,215.75,774.35,1.17,0.87,1.26,2023-03-19,Port of Shanghai (China)
Bicycle,428.88,19.25,1.8,0.94,1.31,2023-03-14,Port of Busan (South Korea)
Running Shoes,39.93,0.97,0.4,0.22,0.19,2023-03-14,Port of Tianjin (China)
Hair Dryer,27.55,0.97,0.32,0.16,0.11,2023-03-18,Port of Tianjin (China)
Roofing Shingles,16.67,7.55,0.85,0.87,0.08,2023-03-17,Port of Busan (South Korea)
Pallete of Frozen Fish,584.76,1182.44,1.08,0.96,1.25,2023-03-23,Port of Tianjin (China)
Coffee Maker,175.12,1.49,0.45,0.23,0.39,2023-03-15,Port of Singapore (Singapore)
Electric Toothbrush,46.9,0.24,,0.05,0.08,2023-03-26,Port of Tokyo (Japan)
Measuring Cups and Spoons,13.0,0.99,0.22,0.29,0.14,2023-03-28,Port of Tokyo (Japan)
Pallete of T-shirts,543.3,1738.84,1.16,1.03,0.59,2023-03-12,Port of Singapore (Singapore)
Tennis Racket,80.41,0.48,0.61,0.23,0.06,2023-03-24,Port of Singapore (Singapore)
Pallete of Tires,624.7,1713.08,1.1,0.82,1.48,2023-03-13,Port of Tokyo (Japan)
Iron,57.3,0.88,0.26,0.17,0.19,2023-03-21,Port of Singapore (Singapore)
Fruit Basket,25.75,2.92,0.42,0.23,0.26,2023-03-22,Port of Tianjin (China)
Sofa,683.51,43.5,1.64,1.01,0.61,2023-03-13,Port of Tianjin (China)
Fan,27.59,3.95,0.21,0.26,0.3,2023-03-28,Port of Shanghai (China)
Leaf Blower,192.78,6.75,0.89,0.26,0.22,2023-03-25,Port of Tokyo (Japan)
Fan,33.63,1.42,0.29,0.23,0.38,2023-03-28,Port of Singapore (Singapore)
Gym Bag,45.77,0.96,0.37,0.3,0.23,2023-03-17,Port of Shanghai (China)
Extra Large Box,58.49,1.48,1.49,0.64,0.51,2023-03-26,Port of Tokyo (Japan)
Sofa,1945.9,192.09,2.35,1.0,0.51,2023-03-14,Port of Shanghai (China)
Swim Goggles,5.37,0.19,0.14,0.1,0.09,2023-03-23,Port of Tokyo (Japan)
Couch,303.28,51.84,1.6,1.23,1.07,,Port of Shanghai (China)
Bathroom Scale,19.24,2.27,0.4,0.39,0.02,2023-03-21,Port of Singapore (Singapore)
Leaf Blower,93.54,4.69,0.66,0.36,0.27,2023-03-13,Port of Tianjin (China)
Teapot,58.16,1.4,0.29,0.23,0.16,2023-03-21,Port of Tokyo (Japan)
Big Bag with Textile Scraps,104.19,1708.57,1.87,0.92,0.2,2023-03-16,Port of Singapore (Singapore)
Coffee Table,282.73,15.47,0.71,0.47,0.34,2023-03-14,Port of Tianjin (China)
Smartphone,568.65,0.19,0.14,0.05,0.03,2023-03-22,Port of Shanghai (China)
Backpack,36.5,0.74,0.26,0.47,0.12,2023-03-27,Port of Singapore (Singapore)
Messenger Bag,20.05,0.75,0.38,0.52,0.12,2023-03-21,Port of Shanghai (China)
Desktop Computer,1457.92,7.51,0.57,0.41,0.34,2023-03-13,Port of Tianjin (China)
Medium Box,18.88,0.45,0.4,0.3,0.21,2023-03-16,Port of Singapore (Singapore)
Instant Noodle Pack,9.99,0.22,0.18,0.12,0.1,2023-03-23,Port of Singapore (Singapore)
Duffel Bag,36.53,1.48,0.33,0.71,0.22,2023-03-16,Port of Tokyo (Japan)
Hedge Trimmer,148.03,2.02,0.83,0.3,0.14,2023-03-27,Port of Busan (South Korea)
Pallete of Smartphones,6608.61,14351.85,0.3,0.41,0.05,2023-03-14,Port of Shanghai (China)
Air Conditioners,2826.81,203.66,1.07,0.51,0.62,2023-03-25,Port of Singapore (Singapore)
Pallete of Cement,467.73,994.6,1.12,0.8,1.2,2023-03-23,Port of Shanghai (China)
Water Heater,172.92,5.56,0.39,0.24,0.11,2023-03-22,Port of Busan (South Korea)
Steel Bars,147.64,80.39,2.12,0.16,0.74,2023-03-28,Port of Tianjin (China)
Smartphone,482.18,0.19,0.08,0.08,0.05,2023-03-25,Port of Busan (South Korea)
Pallete of Crackers,115.47,264.84,1.05,0.84,1.44,2023-03-23,Port of Busan (South Korea)
Garden Hose,23.54,4.72,12.87,0.38,0.2,2023-03-16,Port of Tokyo (Japan)
Washing Machine,213.45,36.21,1.1,0.66,1.25,2023-03-21,Port of Shanghai (China)
Pallete of Wine Bottles,406.5,932.94,1.44,1.06,0.26,2023-03-26,Port of Singapore (Singapore)
Microwave,145.1,19.75,0.52,0.59,0.27,2023-03-22,Port of Singapore (Singapore)
Backpack,33.05,0.63,0.48,0.46,0.13,2023-03-27,Port of Busan (South Korea)
Box of Clothes,58.88,5.38,0.3,0.55,0.5,2023-03-28,Port of Tianjin (China)
Drum Set,843.26,32.52,1.15,0.5,1.37,2023-03-25,Port of Tianjin (China)
Garden Hose,29.42,3.21,18.9,0.4,0.19,2023-03-24,Port of Singapore (Singapore)
Pallete of Bananas,104.42,395.58,1.13,0.91,0.72,2023-03-13,Port of Tokyo (Japan)
Pallete of Frozen Meat,529.37,1395.87,1.17,0.89,1.47,2023-03-24,Port of Shanghai (China)
Desk Lamp,16.62,0.7,0.13,0.15,0.3,2023-03-28,Port of Busan (South Korea)
Rain Jacket,36.4,0.85,0.39,0.28,0.1,2023-03-19,Port of Singapore (Singapore)
Coffee Beans,493.16,230.08,0.35,0.18,0.15,2023-03-14,Port of Busan (South Korea)
Pool Table,506.26,112.71,2.16,1.26,0.6,2023-03-16,Port of Tianjin (China)
Large Shipping Tube,25.03,0.52,0.59,0.4,1.0,2023-03-22,Port of Shanghai (China)
Bottle of Olive Oil,10.91,1.32,0.31,0.12,0.1,2023-03-20,Port of Singapore (Singapore)
Portable Charger,26.92,0.46,0.16,0.07,0.01,2023-03-17,Port of Busan (South Korea)
Refrigerator,819.87,130.99,0.68,0.76,0.9,2023-03-27,Port of Tianjin (China)
Umbrella,28.01,0.45,0.99,0.13,0.24,2023-03-21,Port of Busan (South Korea)
Camping Stove,82.79,0.76,0.22,0.24,0.06,2023-03-21,Port of Tokyo (Japan)
Computer,928.84,6.17,0.59,0.45,0.12,2023-03-17,Port of Shanghai (China)
Assorted Tea Bags,13.32,0.49,0.13,0.17,0.1,2023-03-21,Port of Shanghai (China)
Pallete of Breakfast Cereal,187.88,369.73,1.15,0.98,1.23,2023-03-23,Port of Busan (South Korea)
Drum Set,1059.03,90.88,0.9,0.66,1.37,2023-03-19,Port of Tianjin (China)
Pallete of Tables,2156.81,5454.9,1.94,1.49,1.21,2023-03-19,Port of Busan (South Korea)
Tablet,782.27,1.16,0.24,0.34,0.08,2023-03-21,Port of Busan (South Korea)
Plant,18.44,0.68,0.39,0.24,0.3,2023-03-19,Port of Tianjin (China)
PVC Pipes,13.07,4.75,1.19,0.06,1.42,2023-03-13,Port of Shanghai (China)
Resistance Loop Bands,39.84,0.45,0.21,0.03,0.02,2023-03-22,Port of Shanghai (China)
Smartphone,510.44,0.27,0.18,0.08,0.11,2023-03-13,Port of Shanghai (China)
Glass Sheets,79.29,31.24,1.39,1.04,0.07,2023-03-17,Port of Singapore (Singapore)
Medium Flat Rate Box,20.0,0.69,0.42,0.47,0.25,2023-03-22,Port of Tokyo (Japan)
Whey Protein Powder,56.89,1.77,0.37,0.32,0.13,2023-03-12,Port of Tokyo (Japan)
Lawn Edger,61.48,6.11,1.07,0.37,0.49,2023-03-18,Port of Tokyo (Japan)
Pallete of Cookies,84.8,224.97,1.18,0.9,1.41,2023-03-23,Port of Tianjin (China)
Laptop,1761.43,1.91,0.21,0.31,0.03,2023-03-16,Port of Tokyo (Japan)
Pillows,18.63,1.12,0.23,0.29,0.1,2023-03-20,Port of Shanghai (China)
Plant,35.45,1.47,0.44,0.26,0.32,2023-03-19,Port of Singapore (Singapore)
Hedge Trimmer,73.8,6.98,0.98,0.21,0.23,2023-03-14,Port of Singapore (Singapore)
Smartphone,694.67,0.15,0.06,0.08,0.01,2023-03-21,Port of Tokyo (Japan)
Palette Water Bottles,120.38,632.79,1.2,0.8,1.0,2023-03-27,Port of Singapore (Singapore)
Bed,204.03,55.8,2.21,1.53,1.44,2023-03-13,Port of Shanghai (China)
Coffee Beans,34.99,1.4,0.34,0.3,0.2,2023-03-14,Port of Shanghai (China)
Refrigerator,583.53,58.95,1.28,1.2,1.72,2023-03-17,Port of Singapore (Singapore)
Bluetooth Speaker,70.72,1.39,0.24,0.29,0.11,2023-03-14,Port of Busan (South Korea)
Pallete of Cleaning Products,161.13,691.32,1.05,0.95,1.41,2023-03-20,Port of Tokyo (Japan)
Guitar,460.46,2.81,0.38,0.27,0.15,2023-03-13,Port of Shanghai (China)
Pallete of Dog Food,195.96,493.08,1.0,0.8,1.26,2023-03-20,Port of Busan (South Korea)
Wetsuit,128.42,1.27,0.9,0.36,0.14,2023-03-25,Port of Busan (South Korea)
Pallete of Cookies,82.93,244.38,1.17,0.94,1.34,2023-03-26,Port of Busan (South Korea)
Watering Can,14.71,0.89,0.42,0.18,0.14,2023-03-12,Port of Shanghai (China)
Weed Eater,111.14,4.25,0.94,0.32,0.17,2023-03-13,Port of Singapore (Singapore)
Lawn Sprinkler,31.35,1.92,0.4,0.25,0.14,2023-03-21,Port of Tianjin (China)
Pallete of Smartphones,6997.62,14761.44,0.3,0.43,0.1,2023-03-12,Port of Singapore (Singapore)
Armchair,353.19,17.31,0.71,0.69,0.86,2023-03-20,Port of Tokyo (Japan)
Smartphone Gimbal,111.89,0.53,0.23,0.2,0.3,2023-03-13,Port of Busan (South Korea)
Tablets,1383.3,0.29,0.91,0.49,0.34,2023-03-12,Port of Busan (South Korea)
TV,1204.89,33.82,1.02,1.92,0.4,2023-03-25,Port of Busan (South Korea)
Camera,920.23,1.15,0.2,0.19,0.07,2023-03-21,Port of Shanghai (China)
Big Bag with Rocks,174.7,1966.11,1.69,1.0,0.26,2023-03-21,Port of Tokyo (Japan)
Garden Cart,68.82,19.88,0.92,0.92,0.45,2023-03-27,Port of Tianjin (China)
Dining Table,585.35,32.33,1.68,0.78,1.19,2023-03-20,Port of Singapore (Singapore)
Bathroom Scale,17.32,1.36,0.38,0.35,0.03,2023-03-20,Port of Tianjin (China)
Desk Chair,85.68,10.1,0.56,0.83,0.71,2023-03-14,Port of Tokyo (Japan)
Guitar,361.07,2.58,0.44,0.27,0.18,2023-03-23,Port of Shanghai (China)
Cement Bag,20.94,22.36,0.32,0.39,0.37,2023-03-25,Port of Tokyo (Japan)
Small Padded Envelope,3.12,0.14,0.16,0.09,0.04,2023-03-19,Port of Singapore (Singapore)
Briefcase,64.44,1.91,0.78,0.64,0.23,2023-03-17,Port of Shanghai (China)
Toilet Brush,11.16,0.55,0.14,0.1,0.37,2023-03-17,Port of Singapore (Singapore)
Ceramic Tiles,12.96,8.06,0.48,0.42,0.01,2023-03-27,Port of Busan (South Korea)
Box of Books,30.14,13.88,0.17,0.32,0.08,2023-03-25,Port of Tokyo (Japan)
Pallete of Plants,328.32,593.6,1.16,0.88,1.38,2023-03-27,Port of Singapore (Singapore)
Microwave,80.55,14.85,0.51,0.45,0.29,2023-03-15,Port of Singapore (Singapore)
Medium Shipping Tube,10.14,0.47,0.35,0.22,0.76,2023-03-21,Port of Busan (South Korea)
Sleeping Bag,95.26,1.52,0.78,0.31,0.13,2023-03-18,Port of Tianjin (China)
Toaster,47.64,1.57,0.41,0.22,0.11,2023-03-22,Port of Tianjin (China)
Mixed Dried Fruits,13.58,0.79,0.4,0.26,0.13,2023-03-25,Port of Shanghai (China)
Backpacking Tent,380.1,3.48,1.9,1.75,1.02,2023-03-17,Port of Shanghai (China)
Palette Water Bottles,254.08,878.74,1.2,0.86,1.0,2023-03-21,Port of Busan (South Korea)
Dining Table,1165.4,72.8,1.43,1.12,1.23,2023-03-18,Port of Busan (South Korea)
Suitcase,98.6,2.59,0.74,0.82,0.37,2023-03-12,Port of Tianjin (China)
Suitcase,91.69,3.82,0.79,0.59,0.21,2023-03-13,Port of Tianjin (China)
Large Shipping Tube,20.77,0.51,0.55,0.32,1.58,2023-03-23,Port of Shanghai (China)
Cement Bag,46.26,24.91,0.33,0.39,0.37,2023-03-26,Port of Tianjin (China)
Plywood Sheets,31.64,14.07,1.8,1.05,0.03,2023-03-16,Port of Singapore (Singapore)
Hiking Boots,145.21,2.54,0.47,0.4,0.38,2023-03-18,Port of Tokyo (Japan)
Toilet Brush,7.79,0.38,0.18,0.1,0.37,2023-03-21,Port of Shanghai (China)
Cycling Helmet,20.37,0.69,0.21,0.25,0.28,2023-03-17,Port of Busan (South Korea)
Hoe,17.56,2.05,0.85,0.44,0.42,2023-03-25,Port of Shanghai (China)
Drone,1815.29,2.29,0.9,0.37,0.39,2023-03-12,Port of Tianjin (China)
Big Bag with Sand,55.05,712.94,1.28,0.97,0.12,2023-03-19,Port of Tianjin (China)
Spices Collection,20.23,0.64,0.24,0.2,0.11,2023-03-12,Port of Tokyo (Japan)
Dining Table,1239.15,34.37,1.9,1.39,1.31,2023-03-19,Port of Tokyo (Japan)
Pallete of Coffee,253.97,950.08,1.06,0.81,1.45,2023-03-25,Port of Singapore (Singapore)
Camera,1044.63,0.81,0.16,0.17,0.06,2023-03-14,Port of Singapore (Singapore)
Pallete of Paper Towels,276.8,682.06,1.34,1.12,0.57,2023-03-25,Port of Shanghai (China)
Microwave,123.37,10.6,0.59,0.46,0.22,2023-03-18,Port of Shanghai (China)
Pallete of Wine Bottles,459.56,846.92,1.35,0.84,0.23,2023-03-15,Port of Busan (South Korea)
Couch,431.31,81.15,2.13,1.04,0.88,2023-03-25,Port of Singapore (Singapore)
Healthy Snack Pack,11.12,0.49,0.2,0.17,0.08,2023-03-28,Port of Tianjin (China)
Pallete of Coffee,339.18,870.05,1.16,0.99,1.3,2023-03-28,Port of Singapore (Singapore)
Small Desk,148.22,14.77,0.82,0.77,0.87,,Port of Tianjin (China)
Forklift,9434.38,6430.52,1.96,1.37,1.72,2023-03-18,Port of Tianjin (China)
Aluminum Sheets,93.53,49.57,1.55,1.18,0.02,2023-03-13,Port of Tianjin (China)
Wine Bottle,28.73,0.96,0.25,0.17,0.4,2023-03-13,Port of Busan (South Korea)
Headphones,81.01,0.49,0.11,0.12,0.18,2023-03-28,Port of Busan (South Korea)
Weed Whacker,95.67,4.69,0.97,0.26,0.2,2023-03-19,Port of Shanghai (China)
Smartphone Gimbal,114.28,1.13,0.25,0.22,0.27,2023-03-19,Port of Singapore (Singapore)
Toy Car,11.78,0.5,0.31,0.27,0.11,2023-03-21,Port of Shanghai (China)
Sofa,1373.02,132.61,2.14,0.94,0.98,2023-03-12,Port of Busan (South Korea)
Microwave,64.38,14.54,0.6,0.57,0.27,2023-03-13,Port of Shanghai (China)
Hair Dryer,89.5,1.9,0.31,0.1,0.13,2023-03-19,Port of Shanghai (China)
Tennis Racket,199.77,0.28,0.66,0.28,0.07,2023-03-18,Port of Shanghai (China)
Pallete of Chairs,1282.71,3616.92,1.9,1.48,1.06,2023-03-24,Port of Singapore (Singapore)
Pallete of Breakfast Cereal,184.19,437.19,1.0,0.99,1.26,2023-03-19,Port of Tianjin (China)
Pallete of Clothing,215.77,783.78,1.19,0.96,1.3,2023-03-23,Port of Shanghai (China)
Smartphone,795.73,0.23,0.15,0.03,0.22,2023-03-25,Port of Tianjin (China)
Pallete of Cement,351.4,963.19,1.29,0.81,1.2,2023-03-22,Port of Singapore (Singapore)
Duffel Bag,39.53,2.64,0.56,0.73,0.25,2023-03-23,Port of Busan (South Korea)
Corn (Canned),31.67,42.95,0.4,0.3,0.3,2023-03-25,Port of Busan (South Korea)
Small Box,6.91,0.28,0.25,0.25,0.14,2023-03-16,Port of Singapore (Singapore)
Lawn Mower,331.76,33.33,1.19,0.61,0.56,2023-03-14,Port of Singapore (Singapore)
Lawn Sprinkler,28.31,1.26,0.38,0.17,0.18,2023-03-18,Port of Shanghai (China)
Small Padded Envelope,2.2,0.08,0.11,0.07,0.03,2023-03-17,Port of Singapore (Singapore)
Small Shipping Tube,6.93,0.24,0.21,0.07,0.49,2023-03-18,Port of Tianjin (China)
Laptop Backpack,87.62,0.93,0.52,0.3,0.46,2023-03-28,Port of Tianjin (China)
